,French,English,Right?
0,partie,part,Yes
1,histoire,history,Yes
2,chercher,search,Yes
3,seulement,only,Yes
4,police,police,Yes
5,pensais,thought,Yes
6,aide,help,Yes
7,demande,request,Yes
8,genre,kind,Yes
9,mois,month,
10,frère,brother,Yes
11,laisser,let,
12,car,because,
13,mettre,to put,Yes
14,aucun,no,
15,laisse,leash,Yes
16,eux,them,Yes
17,ville,city,Yes
18,chaque,each,Yes
19,parlé,speak,
20,arrivé,come,
21,devrait,should,
22,bébé,baby,
23,longtemps,long time,
24,heures,hours,
25,vont,will,Yes
26,pendant,while,Yes
27,revoir,meet again,Yes
28,aucune,any,
29,place,square,Yes
30,parle,speak,Yes
31,compris,understood,Yes
32,savais,knew,Yes
33,étaient,were,
34,attention,Warning,
35,voici,here is,Yes
36,pourrais,could,
37,affaire,case,
38,donner,give,
39,type,type,Yes
40,leurs,their,
41,donné,given,
42,train,train,Yes
43,corps,body,
44,endroit,place,Yes
45,yeux,eyes,Yes
46,façon,way,
47,écoute,listen,Yes
48,dont,whose,
49,trouve,find,Yes
50,premier,first,
51,perdu,lost,Yes
52,main,hand,Yes
53,première,first,
54,côté,side,Yes
55,pouvoir,power,
56,vieux,old,Yes
57,sois,be,Yes
58,tiens,here,Yes
59,matin,morning,Yes
60,tellement,so much,Yes
61,enfant,child,
62,point,point,Yes
63,venu,came,
64,suite,after,
65,pardon,sorry,Yes
66,venez,come,Yes
67,devant,in front of,Yes
68,vers,towards,Yes
69,minutes,minutes,
70,demandé,request,Yes
71,chambre,bedroom,Yes
72,mis,placed,Yes
73,belle,beautiful,Yes
74,droit,law,Yes
75,aimerais,would like to,Yes
76,aujourd'hui,today,
77,mari,husband,
78,cause,cause,
79,enfin,finally,Yes
80,espère,hope,Yes
81,eau,water,Yes
82,attendez,Wait,
83,parti,left,
84,nouvelle,new,Yes
85,boulot,job,
86,arrêter,Stop,
87,dirait,would say,Yes
88,terre,Earth,
89,compte,account,
90,donne,given,
91,loin,far,
92,fin,end,Yes
93,croire,believe,
94,chérie,sweetheart,Yes
95,gros,large,Yes
96,plutôt,rather,
97,aura,will have,
98,filles,girls,Yes
99,jouer,to play,
100,bureau,office,Yes
